"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 00:00","2012","04","01","00:00","2.3","","1.1","","92","","","","23","","9","","16.1","","94.99","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 01:00","2012","04","01","01:00","1.5","","0.5","","93","","","","18","","5","","16.1","","95.07","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 02:00","2012","04","01","02:00","1.0","","0.3","","95","","","","16","","5","","16.1","","95.09","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 03:00","2012","04","01","03:00","0.8","","0.2","","96","","","","18","","4","","16.1","","95.13","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 04:00","2012","04","01","04:00","1.0","","0.6","","97","","","","10","","4","","16.1","","95.16","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 05:00","2012","04","01","05:00","1.1","","0.6","","96","","","","13","","4","","16.1","","95.20","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 06:00","2012","04","01","06:00","1.3","","0.7","","96","","","","","","0","","14.5","","95.24","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 07:00","2012","04","01","07:00","2.1","","1.4","","95","","","","1","","4","","16.1","","95.27","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 08:00","2012","04","01","08:00","3.0","","1.8","","92","","","","36","","4","","16.1","","95.34","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 09:00","2012","04","01","09:00","4.0","","2.1","","87","","","","","M","4","","16.1","","95.39","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 10:00","2012","04","01","10:00","4.6","","2.3","","85","","","","16","","9","","16.1","","95.51","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 11:00","2012","04","01","11:00","6.0","","2.8","","80","","","","15","","15","","16.1","","95.61","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 12:00","2012","04","01","12:00","8.1","","0.1","","57","","","","19","","15","","16.1","","95.68","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 13:00","2012","04","01","13:00","8.7","","-5.1","","37","","","","22","","42","","16.1","","95.76","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 14:00","2012","04","01","14:00","9.1","","-5.9","","34","","","","21","","28","","16.1","","95.86","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 15:00","2012","04","01","15:00","8.3","","-6.0","","36","","","","21","","22","","16.1","","95.98","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 16:00","2012","04","01","16:00","8.6","","-6.8","","33","","","","22","","15","","16.1","","96.09","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 17:00","2012","04","01","17:00","8.3","","-6.9","","34","","","","20","","13","","16.1","","96.17","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 18:00","2012","04","01","18:00","8.3","","-8.2","","30","","","","22","","18","","16.1","","96.27","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 19:00","2012","04","01","19:00","7.1","","-6.6","","37","","","","22","","21","","16.1","","96.42","","","","","","NA"
"-119.38","49.96","KELOWNA","1123939","2012-04-01 20:00","2012","04","01","20:00","6.2","","-6.3","","40","","","","21","","18","","16.1","","96.55","","","","","","NA"
